SeqId	Protein.(short.name)	Protein.(full.name)	Gene	Remark	Included.in.analysis	UniProt	Organism	Type	Ensembl.Gene.ID	Entrez.Gene.ID	HGNC.ID
15318_75	Calpactin I light chain	Protein S100-A10	S100A10	NA	Yes	P60903	human	Protein	ENSG00000197747	6281	HGNC:10487
15319_226	CCNA1	Cyclin-A1	CCNA1	NA	Yes	P78396	human	Protein	ENSG00000133101	8900	HGNC:1577
15321_8	CPLX2	Complexin-2	CPLX2	NA	Yes	Q6PUV4	human	Protein	ENSG00000145920	NA	HGNC:2310
15322_35	CRADD	Death domain-containing protein CRADD	CRADD	NA	Yes	P78560	human	Protein	ENSG00000169372	8738	HGNC:2340
15323_112	AGO3	Protein argonaute-3	AGO3	NA	Yes	Q9H9G7	human	Protein	ENSG00000126070	192669	HGNC:18421
15324_58	Ferritin light chain	Ferritin light chain	FTL	NA	Yes	P02792	human	Protein	ENSG00000087086	2512	HGNC:3999
15325_14	NEUM	Neuromodulin	GAP43	NA	Yes	P17677	human	Protein	ENSG00000172020	2596	HGNC:4140
15326_64	GBP1	Guanylate-binding protein 1	GBP1	NA	Yes	P32455	human	Protein	ENSG00000117228	2633	HGNC:4182
15329_167	MAPIP	Ragulator complex protein LAMTOR2	ROBLD3	NA	Yes	Q9Y2Q5	human	Protein	ENSG00000116586	28956	HGNC:29796
15331_47	RBBP4	Histone-binding protein RBBP4	RBBP4	NA	Yes	Q09028	human	Protein	ENSG00000162521	5928	HGNC:9887
15333_11	SDF2	Stromal cell-derived factor 2	SDF2	NA	Yes	Q99470	human	Protein	ENSG00000132581	6388	HGNC:10675
15336_7	SELM	Selenoprotein M	SELM	NA	Yes	Q8WWX9	human	Protein	NA	NA	HGNC:30397
15339_32	COF2	Cofilin-2	CFL2	NA	Yes	Q9Y281	human	Protein	ENSG00000165410	1073	HGNC:1875
15343_337	Kininogen, HMW, Two Chain	Kininogen, HMW, Two Chain	KNG1	NA	Yes	P01042	human	Protein	ENSG00000113889	3827	HGNC:6383
15346_31	IFN-g	Interferon gamma	IFNG	NA	Yes	P01579	human	Protein	ENSG00000111537	3458	HGNC:5438
15347_12	Hemopexin	Hemopexin	HPX	NA	Yes	P02790	human	Protein	ENSG00000110169	3263	HGNC:5171
15358_28	7B2	Neuroendocrine protein 7B2	SCG5	NA	Yes	P05408	human	Protein	ENSG00000166922	6447	HGNC:10816
15361_37	ANKR1	Ankyrin repeat domain-containing protein 1	ANKRD1	NA	Yes	Q15327	human	Protein	ENSG00000148677	27063	HGNC:15819
15363_32	Apo A-V	Apolipoprotein A-V	APOA5	NA	Yes	Q6Q788	human	Protein	ENSG00000110243	116519	HGNC:17288
15364_101	Apo C-I	Apolipoprotein C-I	APOC1	NA	Yes	P02654	human	Protein	ENSG00000130208	341	HGNC:607
15365_41	BAI3	Adhesion G protein-coupled receptor B3	BAI3	NA	Yes	O60242	human	Protein	ENSG00000135298	577	HGNC:945
15367_38	LPLC1	BPI fold-containing family B member 1	BPIFB1	NA	Yes	Q8TDL5	human	Protein	ENSG00000125999	92747	HGNC:16108
15368_3	BMPER	BMP-binding endothelial regulator protein	BMPER	NA	Yes	Q8N8U9	human	Protein	ENSG00000164619	168667	HGNC:24154
15370_5	BOLA1	BolA-like protein 1	BOLA1	NA	Yes	Q9Y3E2	human	Protein	ENSG00000178096	51027	HGNC:24263
15372_43	BRD2	Bromodomain-containing protein 2	BRD2	NA	Yes	P25440	human	Protein	ENSG00000234507	6046	HGNC:1103
15374_15	CA11 protein	Gastrokine-1	GKN1	NA	Yes	Q9NS71	human	Protein	ENSG00000169605	56287	HGNC:23217
15375_49	Carboxypeptidase B1	Carboxypeptidase B	CPB1	NA	Yes	P15086	human	Protein	ENSG00000153002	1360	HGNC:2299
15376_134	CATE	Cathepsin E	CTSE	NA	Yes	P14091	human	Protein	ENSG00000196188	1510	HGNC:2530
15381_45	Discoidin domain receptor 2	Discoidin domain-containing receptor 2	DDR2	NA	Yes	Q16832	human	Protein	ENSG00000162733	4921	HGNC:2731
15383_200	Endothelin 3	Endothelin-3	EDN3	NA	Yes	P14138	human	Protein	ENSG00000124205	1908	HGNC:3178
15384_15	KLOTHO	Klotho	KL	NA	Yes	Q9UEF7	human	Protein	ENSG00000133116	9365	HGNC:6344
15385_116	FABP2	Fatty acid-binding protein, intestinal	FABP2	NA	Yes	P12104	human	Protein	ENSG00000145384	2169	HGNC:3556
